2 	 0.0435209467 	77,78,80,83,94,95,102,119,125,138,)
3 	 0.0179968818 	77,78,83,94,95,102,119,125,138,399,)
4 	 0.0210171568 	77,78,83,94,95,102,119,125,375,399,)
5 	 0.0043945829 	77,78,83,94,95,102,125,373,375,399,)
6 	 0.0000000000 	77,78,83,95,102,125,370,373,375,399,)
7 	 0.0065973392 	77,78,83,95,102,125,363,370,373,375,)
8 	 0.0000000000 	77,83,95,102,125,363,370,373,375,399,)
9 	 0.0000000000 	77,83,102,125,323,363,370,373,375,399,)
10 	 0.0758030681 	77,83,102,125,296,299,323,363,370,373,)
11 	 0.0000000000 	83,102,125,296,299,323,363,370,373,399,)
12 	 0.0000000000 	102,125,296,299,323,363,370,373,375,399,)
13 	 0.0059063792 	102,295,296,299,323,363,370,373,375,399,)
14 	 0.0130241334 	293,295,296,299,323,363,370,373,375,399,)
15 	 0.0280266175 	281,290,293,295,296,299,323,363,373,375,)
16 	 0.0000000000 	281,290,293,295,299,323,363,370,373,399,)
17 	 0.0035261416 	268,272,281,290,293,295,299,323,370,373,)
18 	 0.0224300693 	268,272,281,290,295,299,323,363,373,399,)
19 	 0.0092268235 	268,272,281,290,293,295,296,323,363,373,)
20 	 0.0000000000 	268,272,281,290,295,296,299,323,373,375,)
21 	 0.0000000000 	83,268,272,281,290,295,296,299,323,375,)
22 	 0.0071518123 	240,268,272,281,293,295,299,323,363,375,)
23 	 0.0194385259 	227,235,240,268,272,281,295,296,299,373,)
24 	 0.0520586898 	0,21,35,55,74,227,235,272,281,295,)
25 	 0.0000000000 	0,21,35,55,74,227,235,272,281,399,)
26 	 0.0084972996 	0,35,55,74,227,235,281,323,363,373,)
27 	 0.0046756828 	0,11,21,55,74,78,94,227,235,323,)
28 	 0.0021284869 	0,3,11,32,54,55,74,78,227,299,)
29 	 0.0289440152 	0,3,11,23,32,54,55,64,77,227,)
30 	 0.0204726490 	3,11,21,23,32,54,55,64,363,373,)
31 	 0.0127848996 	3,11,23,54,55,64,281,293,296,370,)
32 	 0.0034504414 	11,35,51,54,55,61,64,75,173,370,)
33 	 0.0272419770 	0,11,32,51,54,61,75,173,293,323,)
34 	 0.0250508010 	3,11,32,51,54,61,77,83,173,290,)
35 	 0.0134746763 	3,23,51,54,55,61,74,95,173,290,)
36 	 0.0003531497 	11,23,35,51,61,74,95,290,363,370,)
37 	 0.0064680605 	3,11,23,32,51,61,64,74,115,272,)
38 	 0.0353634140 	3,51,54,61,75,78,102,115,155,168,)
39 	 0.0001099218 	51,54,61,64,102,115,155,168,299,363,)
40 	 0.0457890769 	11,51,55,95,102,115,125,140,155,168,)
41 	 0.0000000000 	23,75,94,115,125,140,142,155,168,173,)
42 	 0.0109642072 	55,61,95,115,139,140,142,146,155,168,)
43 	 0.0285814109 	54,64,83,97,115,139,142,146,155,168,)
44 	 0.0147604408 	51,77,78,97,115,119,139,142,155,370,)
45 	 0.0219052924 	0,11,61,64,97,115,139,140,142,268,)
46 	 0.0125260465 	35,74,97,139,140,142,213,235,268,323,)
47 	 0.0237385863 	3,97,118,125,139,142,168,213,268,299,)
48 	 0.0000000000 	61,97,102,115,118,139,142,144,213,240,)
49 	 0.0241865713 	23,32,51,61,83,97,118,142,144,213,)
50 	 0.0304530974 	11,75,97,118,139,142,144,155,272,281,)
51 	 0.0002718122 	23,35,78,97,115,118,140,144,168,272,)
52 	 0.0000000000 	3,64,77,97,115,118,138,140,142,144,)
53 	 0.0018258674 	74,97,118,119,138,139,144,155,295,370,)
54 	 0.0431843338 	54,55,94,97,115,118,138,139,189,235,)
55 	 0.0125873748 	11,118,119,146,155,173,189,205,213,227,)
56 	 0.0165767889 	51,64,102,118,142,146,189,205,235,240,)
57 	 0.0179973029 	54,95,118,168,189,205,227,240,281,323,)
58 	 0.0181563813 	32,35,61,97,144,173,189,205,268,295,)
59 	 0.0094619346 	119,139,144,168,189,205,227,272,290,373,)
60 	 0.0170746294 	55,78,138,155,168,189,213,235,240,272,)
61 	 0.0240176195 	23,35,78,115,118,125,139,142,144,189,)
62 	 0.0206767396 	32,64,74,80,118,140,144,173,189,281,)
63 	 0.0224842183 	61,74,97,118,119,142,189,227,290,373,)
64 	 0.0122056902 	0,11,23,74,77,115,142,168,189,268,)
65 	 0.0259303259 	0,3,80,94,95,97,142,189,213,272,)
66 	 0.0179408518 	21,23,51,138,140,155,173,189,227,268,)
67 	 0.0057502071 	55,64,75,83,125,142,189,205,235,295,)
68 	 0.0018185497 	11,51,77,78,97,139,146,189,295,363,)
